# CSO PxStat ROA30 (pass rates, abandoned tests) and ROA36 (waiting times), Category B, 2021 January–2026 July. Source: data.cso.ie
# lastUpdated=2026-08-11
# fullHistoryInJson=67 months
slug,name,county,csoName,passRate,waitWeeks,delivered,noShow,abandoned,period,driveflowUrl,passRate_2021_07,waitWeeks_2021_07,delivered_2021_07,noShow_2021_07,abandoned_2021_07,passRate_2022_07,waitWeeks_2022_07,delivered_2022_07,noShow_2022_07,abandoned_2022_07,passRate_2023_07,waitWeeks_2023_07,delivered_2023_07,noShow_2023_07,abandoned_2023_07,passRate_2024_07,waitWeeks_2024_07,delivered_2024_07,noShow_2024_07,abandoned_2024_07,passRate_2025_07,waitWeeks_2025_07,delivered_2025_07,noShow_2025_07,abandoned_2025_07,passRate_2026_07,waitWeeks_2026_07,delivered_2026_07,noShow_2026_07,abandoned_2026_07
dun-laoghaire,Dún Laoghaire,Dublin,"Dun Laoghaire / Deansgrange, Co. Dublin",44,14,1970,49,160,2026-07,https://www.driveflow.ie/dun-laoghaire-routes.html,58.4,,665,2,28,53.3,18,706,15,40,53.8,51,694,17,36,53.9,28,1127,35,65,52.1,20,1598,52,91,44,14,1970,49,160
ennis,Ennis,Clare,"Ennis, Co. Clare",61.9,12,259,12,24,2026-07,https://www.driveflow.ie/ennis-routes.html,56.5,,196,3,7,64.5,6,179,2,5,51,25,213,2,9,62.4,15,262,8,12,55.8,19,169,6,7,61.9,12,259,12,24
finglas,Finglas,Dublin,"Finglas, Co. Dublin",48.1,9,1443,61,102,2026-07,https://www.driveflow.ie/finglas-routes.html,43.2,,1012,26,93,36.9,12,726,28,56,40.6,28,936,29,58,37,14,1177,53,64,39.6,14,1595,64,88,48.1,9,1443,61,102
carnmore,Galway (Carnmore),Galway,"Galway (Carnmore), Co. Galway",59.1,12,263,15,18,2026-07,https://www.driveflow.ie/carnmore-routes.html,36,,82,,7,64.9,9,41,,4,56.5,22,74,1,4,56.8,17,255,5,7,53.2,22,283,11,18,59.1,12,263,15,18
clybaun,Galway (Clybaun),Galway,"Galway (Clybaun Hotel), Co. Galway",54.2,9,378,10,32,2026-07,https://www.driveflow.ie/clybaun-routes.html,,,,,,,,,,,,,,,,,,,,,52.7,17,339,11,11,54.2,9,378,10,32
westside,Galway (Westside),Galway,"Galway (Westside), Co. Galway",,,,,,2026-07,https://www.driveflow.ie/westside-routes.html,52.4,,218,2,8,59.9,9,210,5,8,58.7,23,293,10,12,55.9,18,252,6,10,,,,,,,,,,
gorey,Gorey,Wexford,"Gorey, Co. Wexford",49.2,11,368,16,29,2026-07,https://www.driveflow.ie/gorey-routes.html,44.7,,292,3,18,48.3,6,319,5,16,53.2,27,311,10,17,62.5,17,281,6,14,60.1,10,487,20,18,49.2,11,368,16,29
kilkenny-government-buildings,Kilkenny (Government Buildings),Kilkenny,"Kilkenny (Govt Buildings), Co. Kilkenny",52,10,406,15,47,2026-07,https://www.driveflow.ie/kilkenny-government-buildings-routes.html,48.9,,142,3,8,59.9,5,164,4,13,57.3,42,94,2,3,64.3,17,62,2,4,68.2,7,301,8,10,52,10,406,15,47
kilkenny-oloughlin-gaels,Kilkenny (O'Loughlin Gaels),Kilkenny,"Kilkenny (O'Loughlin Gaels), Co. Kilkenny",66.4,9,146,7,14,2026-07,https://www.driveflow.ie/kilkenny-oloughlin-gaels-routes.html,59.4,,136,1,7,44.4,6,10,,1,51.9,36,28,,1,52.5,19,88,2,6,58.7,14,148,4,11,66.4,9,146,7,14
killarney,Killarney,Kerry,"Killarney, Co. Kerry",44.6,16,288,9,21,2026-07,https://www.driveflow.ie/killarney-routes.html,57.3,,120,1,2,48.6,12,149,3,8,52.6,47,109,7,7,46.4,17,165,4,10,44.9,10,302,13,17,44.6,16,288,9,21
